Column,Description of Data Value or Column Name
Date,Date data refers to
Month,Month data refers to
Year,Year data refers to
Company,Legal entity that owns and operates pipeline
Pipeline,Name of pipeline system determined by corporate entity
Key Point,"Location along pipeline where throughputs are measured and reported, determined by Company"
Latitude,The latitude coordinate at the key point where throughputs are reported
Longitude,The longitude coordinate at the key point where throughputs are reported
Original Nominations (1000 m3/d),The amount of oil that shippers nominate (request) to ship on the pipeline
Accepted Nominations (1000 m3/d),The amount of oil that is accepted to ship on the pipeline by the pipeline operator.
Apportionment Percentage,Percent by which each shipper's nominated volume is reduced if total nominations by all shippers are greater than the volume the pipeline can transport
